date,rolling_average_cases_per_100k_centered,region
2021-07-19,15.874296248509443,Nationwide
2021-07-20,11.824553237258131,Nationwide
2021-07-21,12.14122094440337,Nationwide
2021-07-22,12.27135239635008,Nationwide
2021-07-23,13.618713429582945,Nationwide
2021-07-24,14.67243001255345,Nationwide
2021-07-25,16.06174647042733,Nationwide
2021-07-26,16.831915759273144,Nationwide
2021-07-27,22.748675167049537,Nationwide
2021-07-28,23.608674327740843,Nationwide
2021-07-29,23.864933186958982,Nationwide
2021-07-30,25.01805453121587,Nationwide
2021-07-31,26.532889085214936,Nationwide
2021-08-01,27.78780891311844,Nationwide
2021-08-02,28.93174706795701,Nationwide
2021-08-03,31.147681140153253,Nationwide
2021-08-04,31.03495857809908,Nationwide
2021-08-05,31.323293316944213,Nationwide
2021-08-06,34.04064694027024,Nationwide
2021-08-07,34.61971014032074,Nationwide
2021-08-08,35.09049004523966,Nationwide
2021-08-09,36.13876635011874,Nationwide
2021-08-10,37.58244206668207,Nationwide
2021-08-11,37.96752671110498,Nationwide
2021-08-12,38.05909747193972,Nationwide
2021-08-13,38.99086478121301,Nationwide
2021-08-14,38.77690952443373,Nationwide
2021-08-15,40.2225872633347,Nationwide
2021-08-16,40.27398701074242,Nationwide
2021-08-17,40.06799632108898,Nationwide
2021-08-18,41.32082708220537,Nationwide
2021-08-19,41.569991818792296,Nationwide
2021-08-20,43.38364996779676,Nationwide
2021-08-21,43.67581466241825,Nationwide
2021-08-22,44.277248285980654,Nationwide
2021-08-23,45.44020565302682,Nationwide
2021-08-24,46.61447879850315,Nationwide
2021-08-25,46.04307551000536,Nationwide
2021-08-26,45.59801723990267,Nationwide
2021-08-27,45.814583830165816,Nationwide
2021-08-28,47.59120456592391,Nationwide
2021-08-29,48.31711175221795,Nationwide
2021-08-30,48.104940906652665,Nationwide
2021-08-31,47.46707918099012,Nationwide
2021-09-01,46.03624252072255,Nationwide
2021-09-02,47.97354731018874,Nationwide
2021-09-03,40.00932836215113,Nationwide
2021-09-04,44.8879086211861,Nationwide
2021-09-05,44.88033575408285,Nationwide
2021-09-06,44.39810950405959,Nationwide
2021-09-07,43.193196712372405,Nationwide
2021-09-08,44.611324883018426,Nationwide
2021-09-09,43.11725043021621,Nationwide
2021-09-10,51.81625509839306,Nationwide
2021-09-11,45.56763872704019,Nationwide
2021-09-12,45.01094595050161,Nationwide
2021-09-13,44.855136385963405,Nationwide
2021-09-14,43.60561331392659,Nationwide
2021-09-15,43.8487719835006,Nationwide
2021-09-16,43.1605550438239,Nationwide
2021-09-17,40.4956021790744,Nationwide
2021-09-18,40.30031795670487,Nationwide
2021-09-19,39.69274769945535,Nationwide
2021-09-20,39.22745159485258,Nationwide
2021-09-21,36.72052792810259,Nationwide
2021-09-22,36.26093323493962,Nationwide
2021-09-23,36.50069717098458,Nationwide
2021-09-24,35.49912021324222,Nationwide
2021-09-25,35.09897687906227,Nationwide
2021-09-26,34.301040410837864,Nationwide
2021-09-27,33.327622332496674,Nationwide
2021-09-28,32.43737522561709,Nationwide
2021-09-29,32.11000105118794,Nationwide
2021-09-30,31.946139875074444,Nationwide
2021-10-01,31.87572091545913,Nationwide
2021-10-02,30.747102583725987,Nationwide
2021-10-03,30.33977808246536,Nationwide
2021-10-04,30.3382983268245,Nationwide
2021-10-05,29.3295837242262,Nationwide
2021-10-06,28.93435840144089,Nationwide
2021-10-07,28.85823803038577,Nationwide
2021-10-08,26.27723953714304,Nationwide
2021-10-09,26.79027952227609,Nationwide
2021-10-10,26.754330164648003,Nationwide
2021-10-11,26.1345736844737,Nationwide
2021-10-12,25.365884151268748,Nationwide
2021-10-13,24.80740696351618,Nationwide
2021-10-14,24.70826333557818,Nationwide
2021-10-15,24.760098305233207,Nationwide
2021-10-16,24.078931965962987,Nationwide
2021-10-17,22.334561198730825,Nationwide
2021-10-18,21.6928259950672,Nationwide
2020-01-26,0.0002090724794658,Midwest
2020-01-27,0.0002090724794658,Midwest
2020-01-28,0.0002090724794658,Midwest
2020-01-29,0.0002090724794658,Midwest
2020-01-30,0.0002090724794658,Midwest
2020-01-31,0.0002090724794658,Midwest
2020-02-01,0.0002090724794658,Midwest
2020-02-02,0.0004181449589317,Midwest
2020-02-03,0.0004181449589317,Midwest
2020-02-04,0.0002090724794658,Midwest
2020-02-05,0.0002090724794658,Midwest
2020-02-06,0.0002090724794658,Midwest
2020-02-07,0.0002090724794658,Midwest
2020-02-08,0.0002090724794658,Midwest
2020-02-09,0.0,Midwest
2020-02-10,0.0,Midwest
2020-02-11,0.0,Midwest
2020-02-12,0.0,Midwest
2020-02-13,0.0,Midwest
2020-02-14,0.0,Midwest
2020-02-15,0.0,Midwest
2020-02-16,0.0,Midwest
2020-02-17,0.0,Midwest
2020-02-18,0.0,Midwest
2020-02-19,0.0,Midwest
2020-02-20,0.0,Midwest
2020-02-21,0.0,Midwest
2020-02-22,0.0,Midwest
